name,engine,technology,conforms,message,successes,failures
pr,shex,shex_s,True,Validated,"[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]",[]
pr,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]",[]
pr,shacl,pyshacl,True,,[],[]
pr,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
pr,shacl,jena_shacl,True,,[],[]
pr,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]"
pr_node,shacl,pyshacl,True,,[],[]
pr_node,shacl,shaclex_shacl,True,,[],[]
pr_node,shacl,jena_shacl,True,,[],[]
pr_node,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]"
sa1,shacl,pyshacl,True,,[],[]
sa1,shacl,shaclex_shacl,True,,[],[]
sa1,shacl,jena_shacl,True,,[],[]
sa1,shacl,shacl_tq,True,,[],[]
sa1,shex,shex_s,True,Validated,"[{'node': ':a', 'shape': ':S'}]",[]
sa1,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}]",[]
sa2,shacl,pyshacl,True,,[],[]
sa2,shacl,shaclex_shacl,True,,[],[]
sa2,shacl,jena_shacl,True,,[],[]
sa2,shacl,shacl_tq,True,,[],[]
sa2,shex,shex_s,True,Validated,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]",[]
sa2,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]",[]
sa3,shacl,pyshacl,Undefined,,[],[]
sa3,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
sa3,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
sa3,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S1'}]"
sa3,shex,shex_s,True,Validated,"[{'node': ':b', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}, {'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}]",[]
sa3,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}]",[]
sa3_single,shacl,pyshacl,Undefined,,[],[]
sa3_single,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
sa3_single,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
sa3_single,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}]"
sa4,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
sa4,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
sa4,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
sa4,shacl,shacl_tq,True,,[],[]
sa4,shex,shex_s,False,"Schema is not well formed: Negative cycles: (IRILabel(<http://example.org/S>),IRILabel(<http://example.org/S>))",[],[]
sa4,shex,jena_shex,False,,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
reach1,shacl,pyshacl,True,,[],[]
reach1,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
reach1,shacl,jena_shacl,True,,[],[]
reach1,shacl,shacl_tq,False,,[],"[{'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]"
reach1,shex,shex_s,True,Validated,"[{'node': ':b', 'shape': ':R'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}, {'node': ':a', 'shape': ':R'}]",[]
reach1,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':R'}, {'node': ':b', 'shape': ':R'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]",[]
safe1,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
safe1,shacl,shaclex_shacl,False,,[],[]
safe1,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
safe1,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}]"
safe1,shex,shex_s,False,Validated with errors,"[{'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
safe1,shex,jena_shex,False,,"[{'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]"
reach2,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,shaclex_shacl,False,,[],[]
reach2,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}]"
reach2,shex,shex_s,False,"Schema is not well formed: Negative cycles: (IRILabel(<http://example.org/S>),IRILabel(<http://example.org/S>))",[],[]
reach2,shex,jena_shex,False,,"[{'node': ':a', 'shape': ':R'}, {'node': ':b', 'shape': ':R'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]"
safe2,shacl,pyshacl,False,,[],"[{'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
safe2,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
safe2,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]"
safe2,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]"
safe2,shex,shex_s,False,"Schema is not well formed: Negative cycles: (IRILabel(<http://example.org/S>),IRILabel(<http://example.org/R>)),(IRILabel(<http://example.org/R>),IRILabel(<http://example.org/S>))",[],[]
safe2,shex,jena_shex,False,,"[{'node': ':a', 'shape': ':R'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':R'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':R'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':R'}]"
nostratnocycle,shacl,pyshacl,False,,[],[]
nostratnocycle,shacl,shaclex_shacl,False,,[],[]
nostratnocycle,shacl,jena_shacl,False,,[],[]
nostratnocycle,shacl,shacl_tq,False,,[],[]
nostratnocycle,shex,shex_s,False,"Schema is not well formed: Negative cycles: (IRILabel(<http://example.org/S>),IRILabel(<http://example.org/S>))",[],[]
nostratnocycle,shex,jena_shex,False,,"[{'node': ':b', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':e', 'shape': ':S'}]"
nostratcycle,shacl,pyshacl,False,,[],[]
nostratcycle,shacl,shaclex_shacl,True,,[],[]
nostratcycle,shacl,jena_shacl,False,,[],[]
nostratcycle,shacl,shacl_tq,False,,[],[]
nostratcycle,shex,shex_s,False,"Schema is not well formed: Negative cycles: (IRILabel(<http://example.org/S>),IRILabel(<http://example.org/S>))",[],[]
nostratcycle,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]",[]
consistency1,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
consistency1,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1,shex,shex_s,False,"Schema is not well formed: Negative cycles: (IRILabel(<http://example.org/S1>),IRILabel(<http://example.org/S>)),(IRILabel(<http://example.org/S>),IRILabel(<http://example.org/S1>))",[],[]
consistency1,shex,jena_shex,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}]"
consistency1_individually_S,shacl,pyshacl,False,,[],[]
consistency1_individually_S,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
consistency1_individually_S,shacl,jena_shacl,False,,[],[]
consistency1_individually_S,shacl,shacl_tq,False,,[],[]
consistency1_individually_S1,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1_individually_S1,shacl,shaclex_shacl,Error,,[],Error running commandCommandResult.TIMEOUT
consistency1_individually_S1,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1_individually_S1,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency2_all,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
