name,engine,technology,conforms,message,successes,failures
pr,shacl,pyshacl,True,,[],[]
pr,shacl,shacl_s,True,,[],[]
pr,shacl,jena_shacl,True,,[],[]
pr,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]"
pr,shacl,rudof,True,,[],[]
pr,shex,shex_s,True,No failures,"[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]",[]
pr,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]",[]
pr,shex,rudof,True,No failures,"[{'node': ':c', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]",[]
pr_node,shacl,pyshacl,True,,[],[]
pr_node,shacl,shacl_s,True,,[],[]
pr_node,shacl,jena_shacl,True,,[],[]
pr_node,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]"
pr_node,shacl,rudof,Undefined,,[],[]
sa1,shacl,pyshacl,True,,[],[]
sa1,shacl,shacl_s,True,,[],[]
sa1,shacl,jena_shacl,True,,[],[]
sa1,shacl,shacl_tq,True,,[],[]
sa1,shacl,rudof,True,,[],[]
sa1,shex,shex_s,True,No failures,"[{'node': ':a', 'shape': ':S'}]",[]
sa1,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}]",[]
sa1,shex,rudof,True,No failures,"[{'node': ':a', 'shape': ':S'}]",[]
sa2,shacl,pyshacl,True,,[],[]
sa2,shacl,shacl_s,True,,[],[]
sa2,shacl,jena_shacl,True,,[],[]
sa2,shacl,shacl_tq,True,,[],[]
sa2,shacl,rudof,True,,[],[]
sa2,shex,shex_s,True,No failures,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]",[]
sa2,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]",[]
sa2,shex,rudof,True,No failures,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]",[]
sa3,shacl,pyshacl,Undefined,,[],[]
sa3,shacl,shacl_s,Error,,[],Error running commandCommandResult.TIMEOUT
sa3,shacl,jena_shacl,False,,[],"[{'node': ':c', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}]"
